Well Number,Well Name,Bottomhole X,Bottomhole Y,Co [MSTB],Cw (bbl),POROS,KX,KY,TD(MD),Cg (mmcf),FACIES,P_2020-1-6,P_2029-1-1
29,PO1_29,10272.76,5933.16,87.8501,0.000193931,0.117425837,0.022922126,0.022922126,8519,172.6703457,4,3481.121691,2924.069885
30,PO1_30,3617.17,5933.16,46.012,0.000475523,0.186735001,0.053717861,0.053717861,8431.3,442.1972544,1,3452.023307,2422.837662
31,PO1_31,5064.04,5933.16,49.817,0.000510682,0.190046003,0.058150879,0.058150879,8435.1,494.7723198,1,3453.284126,2437.618647
32,PO1_32,6221.53,5933.16,45.574,0.000401013,0.179688603,0.047166901,0.047166901,8444.3,425.2731868,1,3456.336637,2471.865885
33,PO1_33,2459.67,5933.16,47.893,0.000442358,0.1830338,0.050863119,0.050863119,8440.5,439.12451,1,3455.075817,2494.312585
34,PO1_34,7668.4,5933.16,105.4785,0.00030368,0.171049401,0.03649316,0.03649316,8463.3,326.4594872,2,3462.640733,2560.229942
35,PO1_35,8825.89,5933.16,108.6708,0.000255897,0.162713599,0.03033826,0.03033826,8484.7,246.102413,2,3469.741137,2584.533276
36,PO1_36,1012.81,5933.16,116.339,0.000338819,0.174660999,0.038391848,0.038391848,8474.8,281.8970253,2,3466.456371,2525.928295
37,PO1_37,11430.25,5933.16,32.6584,0.00011303,0.13541494,0.013927233,0.013927233,8552.5,92.6845392,3,3492.23681,2713.90888
38,PO1_38,12877.11,5933.16,11.742,3.06E-05,0.08009582,0.004137276,0.004137276,8602,26.930277,5,3508.660641,3234.824508
39,PO1_39,1012.81,3328.8,92.7919,7.83E-05,0.09718876,0.009498555,0.009498555,8518.2,73.28279607,4,3480.856256,3036.08941
40,PO1_40,10272.76,3328.8,12.1261,2.81E-05,0.090697479,0.003991443,0.003991443,8562.4,33.09333951,5,3495.521576,3145.315374
41,PO1_41,11430.25,3328.8,9.91929,1.71E-05,0.086673781,0.002783978,0.002783978,8595.9,23.41547597,5,3506.636694,3216.81311
42,PO1_42,8825.89,3328.8,79.6788,3.18E-05,0.092924202,0.004627142,0.004627142,8528.1,45.59822432,5,3484.141022,3128.348835
43,PO1_43,7668.4,3328.8,100.765,0.000154823,0.122934579,0.017898317,0.017898317,8506.8,129.5022355,3,3477.073798,2888.031416
44,PO1_44,2459.67,3328.8,103.7456,0.000866639,0.132720181,0.026013504,0.026013504,8483.9,193.0864426,3,3469.475702,2781.017108
45,PO1_45,6221.53,3328.8,107.1861,21.9822,0.157091518,0.03895556,0.03895556,8487.7,167.5484039,3,3470.736521,2509.917063
46,PO1_46,12877.11,3328.8,0.0464458,92.602,0.141312622,0.038350271,0.038350271,8645.4,0.084350217,3,3523.060526,2659.648417
47,PO1_47,14034.61,3328.8,0,87.5774,0.14375498,0.038000427,0.038000427,8691.2,0,3,3538.256717,2515.127738
48,PO1_48,3617.17,3328.8,105.355,0.000337347,0.176189801,0.04167406,0.04167406,8474.8,389.0444085,2,3466.456371,2663.634642
49,PO1_49,5064.04,3328.8,112.4416,0.000365909,0.176578203,0.042638921,0.042638921,8478.6,337.4950374,2,3467.717191,2464.4939
50,PO1_50,3617.17,724.43,70.304,0.000493659,0.188994002,0.0556852,0.0556852,8559.4,304.6706784,1,3494.526192,2443.862618
51,PO1_51,6221.53,724.43,70.127,0.000380943,0.177060601,0.04498432,0.04498432,8572.3,262.3527654,1,3498.806342,2583.987787
52,PO1_52,1012.81,724.43,79.6995,0.000283432,0.1667068,0.034240802,0.034240802,8602.8,182.0894477,2,3508.926077,2617.939554
53,PO1_53,8825.89,724.43,37.6031,0.000132898,0.138818562,0.016376683,0.016376683,8612.7,81.81682498,3,3512.210843,2675.45806
54,PO1_54,11430.25,724.43,30.9842,0.000104636,0.122455761,0.012991589,0.012991589,8680.5,44.307406,3,3534.706515,2868.429562
55,PO1_55,14034.61,724.43,12.4821,3.53E-05,0.085373021,0.004626775,0.004626775,8775.7,4.77814788,5,3566.293359,3210.405615
